"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","SF","RB1","224.2","1,034.4","7.6","76.3","652.9","4.4","1.0","276.9"
"Amon-Ra St. Brown","DET","WR9","7.8","62.4","0.4","101.0","1,147.9","5.8","0.4","208.3"
"","high","10.0","82.8","1.0","108.4","1,264.9","7.4","0.0","320.5"
"","low","4.6","26.5","0.0","96.0","1,063.0","3.9","1.0","185.5"
"Breece Hall","NYJ","RB13","192.5","979.4","7.0","41.1","366.0","2.3","1.3","208.2"
"","high","278.4","1,293.2","7.9","47.1","467.0","3.0","0.5","257.7"
"","low","142.0","707.0","5.0","37.0","287.0","1.7","2.0","165.6"
"Najee Harris","PIT","RB14","266.0","1,043.0","6.9","39.8","271.4","2.3","1.6","203.2"
"","high","295.0","1,250.2","8.9","46.5","295.6","3.0","0.5","241.0"
"","low","238.0","858.0","5.4","32.6","213.0","1.7","3.0","158.9"
"Jaylen Waddle","MIA","WR10","4.1","37.6","0.3","79.8","1,184.8","6.5","0.6","201.4"
"","high","10.7","86.9","0.6","87.0","1,280.0","7.8","0.0","291.7"
"","low","0.0","0.0","0.0","69.0","1,104.9","5.0","1.0","178.9"
"Travis Etienne Jr.","JAC","RB15","223.2","1,107.3","6.6","36.7","292.9","1.0","2.5","199.2"
"","high","273.6","1,245.5","9.7","42.0","326.0","2.1","2.0","241.5"
"","low","200.0","1,010.0","4.4","31.0","242.3","0.0","2.9","155.3"
"Garrett Wilson","NYJ","WR11","1.9","3.2","0.0","84.4","1,141.4","6.0","0.7","191.4"
"","high","4.5","8.7","0.0","96.5","1,268.9","9.6","0.0","252.5"
"","low","0.0","0.0","0.0","76.3","1,000.4","2.1","1.2","180.2"
"James Conner","ARI","RB16","214.3","914.2","7.0","41.1","302.7","1.3","1.4","189.2"
"","high","252.6","1,085.4","8.0","43.0","330.5","1.7","0.5","252.2"
"","low","179.6","685.8","6.0","38.1","290.6","1.0","3.0","160.6"
"Kenneth Walker III","SEA","RB17","228.8","1,046.7","8.3","27.1","177.6","0.6","0.7","188.5"
"","high","264.1","1,199.3","9.0","29.2","200.1","1.3","0.0","218.5"
"","low","203.0","867.0","7.9","24.0","151.0","0.0","2.0","149.6"
"Tee Higgins","CIN","WR12","0.7","2.9","0.0","80.7","1,092.4","6.5","0.5","188.0"
"","high","1.6","8.8","0.0","93.8","1,164.8","7.8","0.0","274.5"
"","low","0.0","0.0","0.0","71.0","1,010.0","6.0","1.0","166.3"
"Alexander Mattison","MIN","RB18","215.1","947.0","8.0","32.0","219.3","1.6","1.4","187.6"
"","high","250.3","1,113.1","9.1","34.6","248.9","2.1","1.0","244.8"
"","low","176.9","736.0","6.3","29.0","193.0","1.0","2.0","156.0"
"Deebo Samuel","SF","WR13","43.0","258.8","2.5","70.9","902.1","3.9","1.5","186.8"
"","high","49.0","331.0","3.5","77.9","1,008.3","5.8","1.0","271.0"
"","low","37.6","209.5","1.4","61.0","819.0","1.3","2.0","166.5"
"Chris Olave","NO","WR14","0.0","0.2","0.0","82.1","1,146.4","5.6","1.4","186.7"
"","high","0.0","0.9","0.0","90.3","1,269.6","7.0","0.0","289.1"
"","low","0.0","0.0","0.0","74.0","1,037.0","4.0","2.2","164.0"
"Amari Cooper","CLE","WR15","0.7","1.9","0.0","75.3","1,062.7","7.2","0.3","186.3"
"","high","1.6","4.7","0.0","81.0","1,124.1","7.9","0.0","269.0"
"","low","0.0","0.0","0.0","68.0","983.0","6.4","1.0","166.6"
"DeVonta Smith","PHI","WR16","0.0","0.2","0.0","84.3","1,062.5","6.3","0.6","184.9"
"","high","0.0","0.8","0.0","91.2","1,121.1","7.0","0.0","268.5"
"","low","0.0","0.0","0.0","76.0","965.0","5.7","1.0","169.2"
"DK Metcalf","SEA","WR17","0.2","1.3","0.0","82.0","1,006.2","7.1","0.8","182.6"
"","high","0.7","3.7","0.0","91.9","1,088.0","8.3","0.0","259.1"
"","low","0.0","0.0","0.0","69.0","885.0","6.0","1.3","156.0"
"Jahmyr Gibbs","DET","RB19","179.7","784.7","6.4","43.5","343.8","2.0","1.7","181.6"
"","high","199.1","886.9","7.6","48.1","413.0","2.7","0.8","216.2"
"","low","147.0","644.0","6.0","37.0","249.9","1.1","3.0","151.8"
"Dameon Pierce","HOU","RB20","262.7","1,091.0","5.6","31.6","205.7","1.1","2.6","180.9"
"","high","271.3","1,172.4","7.2","32.0","256.1","1.4","2.3","220.1"
"","low","238.0","1,009.4","4.2","31.0","170.0","1.0","3.0","165.8"
"Keenan Allen","LAC","WR18","1.6","8.9","0.0","90.0","1,008.2","5.5","0.6","179.0"
"","high","4.3","23.9","0.2","94.0","1,083.3","6.1","0.0","263.3"
"","low","0.0","0.0","0.0","84.7","950.0","4.9","1.0","159.0"
"Christian Watson","GB","WR19","7.4","66.6","1.0","69.6","955.1","6.1","0.3","178.7"
"","high","10.0","92.8","2.3","80.3","1,047.5","7.0","0.0","251.2"
"","low","4.6","26.9","0.0","58.0","859.0","2.9","1.0","167.8"
"Jerry Jeudy","DEN","WR20","1.5","15.4","0.0","74.1","1,054.5","5.7","0.3","177.4"
"","high","3.0","30.0","0.0","84.5","1,108.3","6.9","0.0","247.0"
"","low","0.0","0.0","0.0","64.0","965.0","3.2","1.0","159.1"
"Calvin Ridley","JAC","WR21","1.7","4.2","0.0","77.1","993.4","6.2","0.5","174.4"
"","high","4.0","14.1","0.0","86.8","1,082.8","7.4","0.0","259.2"
"","low","0.0","0.0","0.0","70.0","885.0","5.0","1.0","157.0"
"Terry McLaurin","WAS","WR22","3.1","19.3","0.1","72.9","1,038.5","5.3","0.4","173.5"
"","high","5.0","29.3","0.3","78.4","1,119.9","7.4","0.0","269.9"
"","low","0.0","0.0","0.0","63.0","941.0","3.8","1.0","145.5"
"Miles Sanders","CAR","RB21","215.8","1,008.1","6.1","28.2","191.2","0.8","1.5","172.3"
"","high","255.0","1,206.5","8.2","41.0","284.0","1.4","1.0","209.9"
"","low","184.1","920.6","5.0","13.2","102.6","0.0","2.0","135.1"
"J.K. Dobbins","BAL","RB22","177.8","933.7","7.1","22.6","164.8","1.6","0.7","171.8"
"","high","238.1","1,073.6","8.0","25.0","204.0","3.0","0.0","193.2"
"","low","126.3","865.0","6.0","19.9","145.0","0.0","2.0","152.3"
"Rachaad White","TB","RB23","203.8","817.0","4.3","46.7","341.3","2.0","2.8","171.6"
"","high","248.6","1,067.7","6.8","54.0","438.7","3.5","1.3","226.4"
"","low","167.8","622.0","1.8","41.2","269.2","1.0","4.0","124.4"
"Mike Williams","LAC","WR23","1.2","5.3","0.0","71.1","995.3","6.0","0.3","171.0"
"","high","4.3","23.7","0.2","79.5","1,061.3","8.2","0.0","254.8"
"","low","0.0","0.0","0.0","60.0","872.0","3.9","1.0","143.6"
"Chris Godwin","TB","WR24","2.3","11.3","0.1","92.6","981.0","4.4","1.0","170.5"
"","high","4.4","25.0","0.2","96.9","1,032.8","6.1","0.0","273.0"
"","low","0.0","0.0","0.0","84.0","932.0","3.0","2.0","144.3"
"Christian Kirk","JAC","WR25","3.3","19.9","0.1","76.0","944.6","6.0","0.4","169.9"
"","high","4.7","33.7","0.2","86.2","1,104.7","7.0","0.0","255.6"
"","low","0.0","0.0","0.0","67.0","832.0","4.2","1.0","146.0"
"Mike Evans","TB","WR26","0.1","8.0","0.0","71.0","982.6","5.9","0.3","169.1"
"","high","0.2","37.1","0.0","79.9","1,125.4","7.2","0.0","263.8"
"","low","0.0","0.0","0.0","64.0","856.4","5.0","1.0","149.5"
"DeAndre Hopkins","TEN","WR27","0.2","1.5","0.0","75.8","983.6","5.6","0.7","168.4"
"","high","0.8","4.9","0.0","80.8","1,055.0","6.5","0.0","243.2"
"","low","0.0","0.0","0.0","73.5","935.0","4.0","1.0","161.4"
"Alvin Kamara","NO","RB24","176.5","757.0","3.9","45.9","378.7","1.8","1.2","168.2"
"","high","193.7","920.8","5.2","57.7","444.3","2.2","0.8","260.8"
"","low","156.0","623.0","1.8","38.9","300.7","0.8","2.0","131.0"
"Cam Akers","LAR","RB25","241.1","1,004.0","6.3","22.7","190.7","0.5","2.5","166.6"
"","high","285.2","1,264.5","7.0","25.0","225.3","1.0","2.0","198.4"
"","low","201.0","759.0","5.5","20.0","173.4","0.0","3.0","122.4"
"Mark Andrews","BAL","TE2","0.0","11.9","0.1","74.9","886.4","6.3","0.4","164.6"
"","high","0.0","23.7","0.1","84.3","943.9","7.9","0.0","235.5"
"","low","0.0","0.0","0.0","66.0","843.0","5.1","1.0","146.5"
"DJ Moore","CHI","WR28","5.1","32.8","0.0","65.6","917.6","6.1","0.5","163.6"
"","high","8.0","53.0","0.2","83.0","1,076.4","9.0","0.1","218.8"
"","low","0.0","0.0","0.0","54.7","802.0","3.2","1.0","158.8"
"David Montgomery","DET","RB26","196.1","782.3","6.1","32.6","279.9","1.1","1.4","162.8"
"","high","225.6","877.2","7.6","40.0","358.0","1.5","0.8","197.7"
"","low","172.0","641.0","5.1","27.2","220.0","0.8","2.0","138.3"
"Drake London","ATL","WR29","0.0","0.2","0.0","76.5","948.2","5.6","2.1","162.6"
"","high","0.0","0.9","0.0","77.2","978.6","6.1","0.0","245.2"
"","low","0.0","0.0","0.0","75.7","903.9","5.0","3.4","154.2"
"Marquise Brown","ARI","WR30","1.7","9.9","0.0","78.5","899.2","5.0","0.4","159.5"
"","high","4.6","27.2","0.2","91.5","1,054.9","5.5","0.0","215.7"
"","low","0.0","0.0","0.0","69.4","796.6","4.3","1.0","145.2"
"T.J. Hockenson","MIN","TE3","0.0","0.7","0.0","82.6","830.8","5.9","0.5","158.6"
"","high","0.0","1.4","0.0","89.0","877.0","7.5","0.0","237.9"
"","low","0.0","0.0","0.0","77.0","792.2","5.0","1.0","141.3"
"Tyler Lockett","SEA","WR31","0.3","0.8","0.0","71.7","889.4","5.8","0.5","158.5"
"","high","1.2","2.3","0.0","86.8","1,014.2","6.8","0.0","226.8"
"","low","0.0","0.0","0.0","65.0","801.0","5.0","1.0","141.8"
"Isiah Pacheco","KC","RB27","196.1","878.7","6.6","21.6","184.1","0.6","1.8","156.5"
"","high","236.6","1,065.7","9.0","24.0","238.0","1.1","1.6","187.6"
"","low","169.0","731.3","5.0","19.2","148.5","0.0","2.0","127.8"
"Javonte Williams","DEN","RB28","169.5","801.2","4.4","35.9","247.9","1.6","1.7","155.7"
"","high","179.9","982.0","6.1","47.0","340.1","2.3","1.3","236.9"
"","low","161.0","709.8","2.7","25.2","170.1","1.0","2.0","132.9"
"Brandon Aiyuk","SF","WR32","2.8","18.7","0.2","63.8","898.6","5.3","0.5","155.4"
"","high","5.0","37.0","0.6","69.0","1,008.8","6.0","0.0","225.6"
"","low","0.0","0.0","0.0","58.0","804.0","4.3","1.0","138.9"
"D'Andre Swift","PHI","RB29","126.8","590.8","5.1","42.4","347.0","1.9","0.9","155.0"
"","high","132.5","681.0","6.0","51.7","480.3","2.1","0.8","213.0"
"","low","113.0","528.9","4.5","34.0","282.0","1.6","1.0","133.2"
"Diontae Johnson","PIT","WR33","4.7","24.8","0.0","79.2","887.9","4.2","0.7","154.7"
"","high","8.0","42.0","0.1","88.0","947.0","5.1","0.0","230.8"
"","low","0.0","0.0","0.0","72.5","824.0","3.0","1.2","129.6"
"Michael Pittman Jr.","IND","WR34","1.9","19.6","0.0","77.3","884.6","4.3","0.5","154.2"
"","high","4.5","41.2","0.1","85.5","1,005.4","6.0","0.0","263.9"
"","low","0.0","0.0","0.0","67.0","685.0","3.0","1.0","116.6"
"Brandin Cooks","DAL","WR35","2.6","19.4","0.1","68.8","873.6","5.1","0.3","154.1"
"","high","4.9","33.6","0.3","77.4","1,038.9","6.4","0.0","259.1"
"","low","0.0","0.0","0.0","61.0","785.0","2.9","1.0","132.4"
"Jahan Dotson","WAS","WR36","3.1","10.3","0.1","57.7","820.4","6.2","0.3","148.7"
"","high","7.5","43.6","0.4","63.4","1,000.7","8.2","0.0","231.3"
"","low","0.0","-7.0","0.0","51.0","726.1","4.0","1.0","131.7"
"James Cook","BUF","RB30","141.5","748.6","4.5","31.2","236.3","1.5","1.5","146.7"
"","high","152.0","851.3","5.6","37.3","301.7","1.9","1.2","210.5"
"","low","119.2","698.0","4.0","19.0","165.0","1.0","2.0","117.6"
"George Kittle","SF","TE4","0.0","4.3","0.0","60.7","800.5","6.1","0.5","146.6"
"","high","0.0","8.6","0.1","65.7","853.6","8.0","0.0","216.1"
"","low","0.0","0.0","0.0","57.0","771.0","4.5","1.0","138.2"
"George Pickens","PIT","WR37","2.3","16.0","0.4","54.4","840.9","5.1","0.3","145.3"
